_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest,is_this_tweet_related_to_turkish_protests_2013,created_at,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest_gold,id,is_this_tweet_related_to_turkish_protests_2013_gold,proccd_text,text
1657977939,3/30/2018 15:00:21,false,3525055962,,3/30/2018 14:58:08,false,clixsense,0.96,44118241,TUR,46,Kahramanmaras,85.103.219.25,,0,Sat Jun 15 12:14:33 +0000 2013,,345876980979352000,,lawn goose clothes lot DD outfit pattern sewing turkey uncle sam santa ballerina ebay httpAddress,Lawn GOOSE Clothes Lot 15 Outfit Pattern Sewing Turkey Uncle Sam Santa Ballerina | eBay http://t.co/m75nVPN3YO
1657977939,3/30/2018 15:00:22,false,3525056057,,3/30/2018 14:58:03,false,clixsense,1.0,44348885,TUR,"","",37.155.232.152,,0,Sat Jun 15 12:14:33 +0000 2013,,345876980979352000,,lawn goose clothes lot DD outfit pattern sewing turkey uncle sam santa ballerina ebay httpAddress,Lawn GOOSE Clothes Lot 15 Outfit Pattern Sewing Turkey Uncle Sam Santa Ballerina | eBay http://t.co/m75nVPN3YO
1657977939,3/30/2018 15:01:20,false,3525059826,,3/30/2018 14:59:07,false,clixsense,0.9091,40995057,TUR,41,Kocaeli,95.10.230.32,,0,Sat Jun 15 12:14:33 +0000 2013,,345876980979352000,,lawn goose clothes lot DD outfit pattern sewing turkey uncle sam santa ballerina ebay httpAddress,Lawn GOOSE Clothes Lot 15 Outfit Pattern Sewing Turkey Uncle Sam Santa Ballerina | eBay http://t.co/m75nVPN3YO
1657977940,3/30/2018 15:06:27,false,3525077385,,3/30/2018 15:04:25,false,clixsense,1.0,42468422,TUR,68,Ankara,176.88.19.7,0,1,Tue Jun 04 16:04:35 +0000 2013,,341948605927653000,,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,RT @VOT99: Turkish Police have blacked out ID numbers on their helmuts at #occupygezi #direngeziparki protests. Why? http://t.co/3yRR3HG4Ri
1657977940,3/30/2018 15:06:44,false,3525078110,,3/30/2018 15:04:42,false,clixsense,0.976,44042396,TUR,19,Çorum,78.163.26.195,1,1,Tue Jun 04 16:04:35 +0000 2013,,341948605927653000,,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,RT @VOT99: Turkish Police have blacked out ID numbers on their helmuts at #occupygezi #direngeziparki protests. Why? http://t.co/3yRR3HG4Ri
1657977940,3/30/2018 15:11:00,false,3525093006,,3/30/2018 15:05:28,false,clixsense,0.9,43970301,TUR,68,Ankara,213.74.152.15,0,1,Tue Jun 04 16:04:35 +0000 2013,,341948605927653000,,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,RT @VOT99: Turkish Police have blacked out ID numbers on their helmuts at #occupygezi #direngeziparki protests. Why? http://t.co/3yRR3HG4Ri
1657977941,3/30/2018 15:03:18,false,3525066893,,3/30/2018 15:00:25,false,clixsense,1.0,44348885,TUR,"","",37.155.232.152,0,1,Sat Jun 01 07:12:41 +0000 2013,,340727587036873000,,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,RT @CihanSCelik: #Occupy #Taksim protesters in #Istanbul call on #AKP govt to resign. http://t.co/YnnGaswzuX
1657977941,3/30/2018 15:03:22,false,3525067119,,3/30/2018 15:01:22,false,clixsense,0.9091,40995057,TUR,41,Kocaeli,95.10.230.32,0,1,Sat Jun 01 07:12:41 +0000 2013,,340727587036873000,,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,RT @CihanSCelik: #Occupy #Taksim protesters in #Istanbul call on #AKP govt to resign. http://t.co/YnnGaswzuX
1657977941,3/30/2018 15:05:25,false,3525073910,,3/30/2018 15:01:01,false,clixsense,0.9,43970301,TUR,68,Ankara,213.74.152.15,0,1,Sat Jun 01 07:12:41 +0000 2013,,340727587036873000,,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,RT @CihanSCelik: #Occupy #Taksim protesters in #Istanbul call on #AKP govt to resign. http://t.co/YnnGaswzuX
1657977942,3/30/2018 14:28:06,false,3524936714,,3/30/2018 14:26:17,true,clixsense,1.0,44139624,TUR,34,Istanbul,78.190.113.215,,0,Sun Jun 09 14:53:50 +0000 2013,,343742740774928000,,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,RT @MarietjeSchaake: @MarkABentley: Erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey
