_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,violence,violence_confidence,Protest,protest_confidence,created_at,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest_gold,id,is_this_tweet_related_to_turkish_protests_2013_gold,proccd_text,text
1657978268,FALSE,finalized,3,04/07/18 10:56,0,0,0,0.6786,Fri Jun 14 21:30:59 +0000 2013,,3.45655E+17,,rt usrId bbc suspends partnership with #turkey s usrId after it decided not to transmit bbc programme dunya gundemi world agenda,RT @BBCBreaking: BBC suspends partnership with #Turkey's @ntv after it decided not to transmit BBC programme Dunya Gundemi (World Agenda)
1657978847,FALSE,finalized,3,04/07/18 10:41,0,0,0,0.6786,Sat Jun 01 23:46:36 +0000 2013,,3.40978E+17,,i close my eyes and i can see a brighter httpAddress i close my eyes and httpAddress #prayforturkey,"I close my eyes, and i can see a brighter day. I close my eyes and pray. #PrayForTurkey "
1657978909,FALSE,finalized,3,04/07/18 10:56,0,0,0,0.6786,Mon Jun 03 12:01:57 +0000 2013,,3.41525E+17,,support to turkey from femen parolechiave httpAddress via usrId,Support to Turkey from Femen | Parolechiave http://t.co/VewvyE1z0F via @bezzicante
1657979200,FALSE,finalized,3,04/07/18 10:25,0,0,0,0.6786,Sat Jun 01 23:55:02 +0000 2013,,3.4098E+17,,usrId usrId usrId usrId httpAddress gas they use is different than the tear gas this time httpAddress,@BBCWorld @BBCNews @cnnbrk @FoxNews ISTANBUL.The gas they use is different than the tear gas this time: http://t.co/s4yqthNsFo
1657979687,FALSE,finalized,3,04/07/18 10:25,0,0,0,0.6786,Mon Jun 17 06:37:56 +0000 2013,,3.46517E+17,,#direnankara ankara httpAddress DD others httpAddress,#direnankara (@ Ankara w/ 15 others) http://t.co/9C67eXSy1D
1657979826,FALSE,finalized,3,04/07/18 10:41,0,0,0,0.6786,Fri Jun 07 10:44:14 +0000 2013,,3.42955E+17,,social media is worst menace to society says turkey pm DD twitter users arrested httpAddress via usrId,"Social Media Is ""Worst Menace To Society"" Says Turkey PM, 25 Twitter Users Arrested http://t.co/I8F2fRMqk8 via @techcrunch"
1657979902,FALSE,finalized,3,04/07/18 11:13,0,0,0,0.6786,Sun Jun 16 15:55:18 +0000 2013,,3.46295E+17,,rt usrId pm erdogan we know which hotels let those terrorists sleep in their hotels divan hotel we will hold them accounta,RT @WashingtonPoint: PM Erdogan: We know which hotels let those terrorists sleep in their hotels (Divan Hotel)-- we will hold them accounta
1657977942,FALSE,finalized,3,04/06/18 11:49,0,0,0,0.6767,Sun Jun 09 14:53:50 +0000 2013,,3.43743E+17,,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,RT @MarietjeSchaake: @MarkABentley: Erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey
1657977969,FALSE,finalized,3,04/07/18 08:31,0,0,0,0.6767,Tue Jun 18 11:47:49 +0000 2013,,3.46957E+17,,new form of protest in turkey standing silently httpAddress,New form of protest in Turkey: standing silently: http://t.co/Czn5dPooxO
1657978017,FALSE,finalized,3,04/06/18 11:46,0,0,0,0.6767,Thu Jun 20 00:38:27 +0000 2013,,3.47514E+17,,httpAddress usrId many reports some live streams amp ,".@M_Aksut @zeynepozar Many reports, some live streams &amp; pics but the usual journalism black hole in Turkey means I can't make sense of it."
1657978283,FALSE,finalized,3,04/07/18 09:54,0,0,0,0.6767,Sat Jun 01 08:27:00 +0000 2013,,3.40746E+17,,rt usrId police accused of excessive force in #istanbul httpAddress at 4 day protest over #taksim square plans httpAddress,"RT @BBCBreaking: Police accused of ""excessive force"" in #Istanbul http://t.co/5jkFqMMTBH at 4-day protest over #Taksim Square plans http://"
