_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest:confidence,is_this_tweet_related_to_turkish_protests_2013,is_this_tweet_related_to_turkish_protests_2013:confidence,created_at,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest_gold,id,is_this_tweet_related_to_turkish_protests_2013_gold,proccd_text,text,Fatma_violence
1744388076,FALSE,finalized,5,06/11/18 04:39,1,1,1,1,Fri May 31 16:50:44 +0000 2013,,3.40511E+17,,rt usrId photos turkish riot police used high pressure water and tear gas to break up sit in at taksim httpAddress httpAddress,RT @nytimesworld: Photos: Turkish riot police used high-pressure water and tear gas to break up sit-in at Taksim Square. http://t.co/b9Fh1,1
1744388077,FALSE,finalized,5,06/11/18 04:18,1,1,1,1,Sat Jun 15 20:00:04 +0000 2013,,3.45994E+17,,there were children and elderly people in gezi park httpAddress now it s being tear gassed and water httpAddress this is a human rights httpAddress,There were children and elderly people in Gezi Park today. Now it's being tear gassed and water canonned. This is a human rights violation.,1
1744388078,FALSE,finalized,5,06/11/18 04:32,0,1,0,0.5882,Mon Jun 10 08:39:30 +0000 2013,,3.44011E+17,,agent usrId examines the memoir query that got her to sign client moses gates httpAddress #occupygezi,Agent @Areubey examines the memoir query that got her to sign client Moses Gates http://t.co/yW4BSrzME1 #occupygezi,0
1744388079,FALSE,finalized,5,06/11/18 04:20,0,1,0,1,Sun Jun 16 14:23:41 +0000 2013,,3.46272E+17,,rt usrId usrId facetiming me from turkey ! wahh i wanna be in the httpAddress #3months #needaholiday,RT @C_A_Waugh: @laursyH facetiming me from turkey! Wahh i wanna be in the sun. #3months #needaholiday,0
1744388080,FALSE,finalized,5,06/11/18 04:39,0,1,1,0.8,Sat Jun 15 21:09:43 +0000 2013,,3.46012E+17,,citizens are marching on the highway towards httpAddress #direngeziparki #occupygezi httpAddress,Citizens are marching on the highway towards Taksim.. #direngeziparki #occupygezi http://t.co/HCrg08RB9O,0
1744388081,FALSE,finalized,5,06/11/18 04:14,0,1,0,1,Wed Jun 12 19:16:28 +0000 2013,,3.44896E+17,,httpAddress eastern #turkey 2013 06 12 19 02 52 httpAddress,"M4.6 - EASTERN #TURKEY - 2013-06-12 19:02:52 UTC
http://t.co/JrOG1fj8Hp
#earthquake",0
1744388082,FALSE,finalized,5,06/11/18 04:39,0,1,1,1,Sun Jun 02 09:59:50 +0000 2013,,3.41132E+17,,rt usrId lutfen imzalayin ve paylasin httpAddress please sign and share http httpAddresshttpAddresst . cohttpAddressxy4nknwmiz #bubirsivildirenis #direngeziparki #occupygezi #oc,RT @kadinih: Lutfen imzalayin ve paylasin / Please sign and share http://t.co/xY4nKnWmIz #bubirsivildirenis #direngeziparki #occupygezi #oc,0
1744388083,FALSE,finalized,5,06/11/18 04:20,1,1,1,0.6,Tue Jun 25 16:57:42 +0000 2013,,3.49572E+17,,rt usrId slain protester ethem sarisuluk s mother devastated after turkey court rules cop who shot him fired in self defense httpAddress,"RT @IvanCNN: Slain protester Ethem Sarisuluk's mother ""devastated"" after Turkey court rules cop who shot him fired in self defense http://t",1
1744388084,FALSE,finalized,5,06/11/18 04:48,0,1,0,1,Sun Jun 16 15:55:07 +0000 2013,,3.46295E+17,,usrId turkey steps up warning against cyprus drilling httpAddress via usrId seriously turkey ?? it s not yours !!,@Parikiaki: Turkey steps up warning against Cyprus drilling http://t.co/NmLLFgKiQT via @sharethis Seriously Turkey??? IT'S NOT YOURS!!!!!,0
1744388085,FALSE,finalized,5,06/11/18 04:25,0,1,0,1,Sun Jun 02 19:45:30 +0000 2013,,3.41279E+17,,the new turkey and the arab world al ahram weekly httpAddress,The-new-Turkey-and-the-Arab-world - Al-Ahram Weekly http://t.co/krV834Iyll,0
